symbol	evidence	note	source
RASGRP1	GWAS	T-cell Ras activator	curated (Claude knowledge; unverified)
CSF2	clinical_trial	GM-CSF; otilimab failed phase 3	curated (Claude knowledge; unverified)
CSF2RA	clinical_trial	GM-CSF receptor alpha; mavrilimumab phase 2	curated (Claude knowledge; unverified)
IL17A	clinical_trial	secukinumab/ixekizumab not approved for RA	curated (Claude knowledge; unverified)
IL23A	clinical_trial	IL-23 p19; not approved for RA	curated (Claude knowledge; unverified)
IL12B	clinical_trial	IL-12/23 p40; ustekinumab phase 2 in RA	curated (Claude knowledge; unverified)
BTK	clinical_trial	BTK inhibitors phase 2 in RA	curated (Claude knowledge; unverified)
IRAK4	clinical_trial	IRAK4 inhibitors phase 2 in RA	curated (Claude knowledge; unverified)
CCR5	clinical_trial	maraviroc failed in RA	curated (Claude knowledge; unverified)
CXCL13	biology	B-cell follicle chemokine in synovium	curated (Claude knowledge; unverified)
CXCR5	biology	Tfh / B-cell homing	curated (Claude knowledge; unverified)
ICOSLG	biology	co-stimulation	curated (Claude knowledge; unverified)
CD40LG	clinical_trial	CD40L blockade in trials for autoimmunity	curated (Claude knowledge; unverified)
TNFSF13B	clinical_trial	BAFF; belimumab phase 2 in RA (approved for SLE)	curated (Claude knowledge; unverified)
IL15	clinical_trial	IL-15 antibody phase 2	curated (Claude knowledge; unverified)
IL18	biology	inflammasome cytokine	curated (Claude knowledge; unverified)
IL1B	biology	IL-1 beta; canakinumab not approved for RA	curated (Claude knowledge; unverified)
MMP1	biology	collagenase; joint destruction	curated (Claude knowledge; unverified)
MMP3	biology	stromelysin; RA biomarker	curated (Claude knowledge; unverified)
CTSK	biology	cathepsin K; osteoclast bone resorption	curated (Claude knowledge; unverified)
SYK	clinical_trial	fostamatinib phase 3 in RA (not approved)	curated (Claude knowledge; unverified)
PIK3CD	biology	PI3K delta; B/T-cell signalling	curated (Claude knowledge; unverified)
MAPK14	clinical_trial	p38 inhibitors failed in RA	curated (Claude knowledge; unverified)
IKBKB	biology	IKK-beta; NF-kB	curated (Claude knowledge; unverified)
NFKB1	biology	NF-kB p50	curated (Claude knowledge; unverified)
TNFRSF1A	biology	TNF receptor 1	curated (Claude knowledge; unverified)
CSF2RB	biology	GM-CSF receptor beta	curated (Claude knowledge; unverified)
IL7R	GWAS	IL-7 receptor	curated (Claude knowledge; unverified)
IL17RA	biology	IL-17 receptor A (brodalumab not for RA)	curated (Claude knowledge; unverified)
TLR4	biology	innate immune receptor	curated (Claude knowledge; unverified)
